Q08379	O15027
Q9UMX0	P62979
Q8N7E2	Q9NZ81
O95793	Q9NZI8
Q8NEC5	P0C7H8
P40424	Q96GN5
Q9BXK5	Q53XK0
Q15041	P51116
O14544	Q9NX04
P52747	P51687
Q9Y3Y2-3	Q13838
Q9P286	Q96BZ8
O60663-2	Q02962
O95967	Q7Z417
Q86VF2-5	P19474
P14373	Q9H0K6
Q6NX45	Q9NRD5
Q9H0Q3	Q96Q45-2
Q92824-2	Q96EG3
P60014	Q96SQ5
P07307-3	O95183
A6NFY7	Q8IWL3
Q7Z3K6-2	Q96EZ8
Q9Y2I6	Q9BRK4
O43790	Q63ZY3
O60941-5	Q7Z3Y8
O15049	P57075-2
Q96RF0	Q7L190
A0A1B0GWI1	Q15323
O00560	Q8WXD2
P13647	Q9BVG8
P04626	Q13882
Q92731	Q9H361
P12694	Q9UGP5
P42345	Q9BVC4
Q8N987	P55201-2
Q9BYQ2	Q5T5B0
P49336	Q9NX70
O75864	O75593
Q8WXE1	Q5VWN6-2
Q9Y3C7	O95257
Q13643	O60216
P42858	Q13501
O00522	Q9ULI3
Q99909	Q7Z3Y8
Q96QG7	Q13287
Q96HT8	Q99757
Q9H832	Q96MA6
Q14390	O43711
Q15276	Q6NX45
P06729	Q9Y5K6
Q86VF2-5	Q08379
O95995	Q96GS4
Q6EMK4	Q9BYQ3
O95721	P23763
Q9BYR3	O14633
P02545	P63104
Q15323	Q9UC07
Q8WUK8	Q9BRK4
P26371	Q86UU5
Q92905	Q13616
O14744	O15197-2
O15266	P35711
Q9P2K5-2	O43482
Q15645	Q9NXR5-2
Q96LM6	A8MQ03
Q8IYI8	Q9UJV3-2
Q9H5F2	Q52LG2
Q9UHC7	Q3B820
O43711	Q6UXX5
Q9H257-2	O95678
P23142-4	Q5BKT4
Q4G0R1	Q2KHN1
O95678	O75558
Q13227	Q8WUN7
Q8TBZ8	Q13137
O43156	Q9Y230
Q86UD0	Q9UPT5-1
Q9UMX0	A0A0S2Z5Y1
Q8N8B7	Q5W0B1
P60510	O75663
Q6H8Q1-8	A0A0S2Z6I7
Q8N6W0	A0AV96
P0C7H8	P26371
Q9UQ35	Q96SB4
O76011	Q9NRY2
O60341-1	P05771-1
P11802	P42773
Q8IZU0	Q9ULW3
Q8NA54	O60504
Q9BY43	Q9BSW7
P08865	Q15046
Q9Y5K5	O14818
Q13077	B4DWU0
P68431	Q9NPI1
Q14686	Q92793
P98171-1	P98171-1
O00244	Q9NWS6
Q6PI77	P48552
Q9BRQ3	Q9P0T4
A2VCK2	Q8N9N5
Q6PKX4	Q6P1W5
Q6A162	Q9P2K3
Q8IXL7-2	P78424
Q15040	Q99750
Q96BA8	Q13021
Q13418	P49023
Q9BYR2	O14633
Q4V328	Q2TBE0
Q9BYR7	Q8NAJ2
Q07912	P07902
Q9H0I2	Q3LI66
Q5QGT7	Q8N6L0
P06748	P05549
Q9HC98-4	O76011
P32243-2	Q6PF06
Q8IX06	Q9BWG6
Q9BYQ3	Q9NUL5-4
P08107	P00533
Q8IZW8	Q08209-2
P61962	P53350
Q7Z4V0	Q8ND90
Q3LI64	Q9UQM7
Q86YF9	Q15172
P48775	P48775
P43364-2	Q86U06-2
O75177-5	Q15427
Q9H8S9	Q9NQ48
Q96Q45-2	Q5BVD1
Q9BYR5	Q13895
O95219	Q15041
O14964	Q8IYX8-2
P06239	P23471
A2RRN7	P56279
Q9GZV8	Q96GN5
A6NC98	Q9Y580
Q9BU76	Q8TA86
Q5TA45	Q13227
P19320	Q92688
P57060	Q6FHY5
Q68D10-3	Q6FHY5
P29353	Q8TF42
O75928-2	Q9UMX0
Q7L9L4	Q13043
Q2TBE0	Q15742
Q5JR59-3	Q6EMK4
Q0VD86	P0C853
Q17RB8	Q9UKS7
Q5T5A8	A0A087WY89
Q7L775	Q13829
O94900	Q13588
Q92529	Q6P1K2
Q9BSH5	O75360
O95295	A1L4K1
O95429	Q99816
Q9P0T4	A6NEM1
P16083	A1L1C6
Q04864	Q9NY43
O75934	Q16610
O15344	P51668
P35250	P35251
A8MUP2	Q52LG2
Q9BYR6	Q5T754
P49761	O00560
P42224	P10276
Q8NEC5	O15304-2
P60410	Q8IWZ5
